time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
1610,0.0102198,0.0121501,0.028042,7600,17300
1620,0.00765228,0.00982116,0.0246923,9700,17500
1630,0.00687991,0.00859046,0.0133201,4700,16800
1640,0.00627025,0.00746629,0.01194,4300,18100
1650,0.00819966,0.00989774,0.0123343,4000,17700
1660,0.0068616,0.00841428,0.00879682,3200,16100
1670,0.00453824,0.00555472,0.0058578,3500,15400
1680,0.00790516,0.00967724,0.00800631,2500,16900
1690,0.00699824,0.00866681,0.00748988,2000,15900
1700,0.0206153,0.0266401,0.0860795,9500,17900
1710,0.0151545,0.019527,0.0558609,7000,18200
1720,0.0103876,0.0134893,0.0319564,8900,18300
1730,0.00767531,0.00929118,0.0194141,6700,18600
1740,0.00712474,0.0088672,0.00886867,3400,18100
1750,0.0036112,0.00448833,0.00781665,5400,18400
1760,0.00426136,0.00530332,0.00644392,5400,16400
1770,0.00670679,0.00824237,0.00605512,3000,17000
1780,0.00782193,0.00890436,0.00479287,1100,17000
1790,0.00484189,0.00571505,0.00452414,2600,15400
1800,0.00524347,0.00676407,0.00443236,2600,15200
1810,0.00613695,0.00734802,0.00536159,1900,16500
1820,0.00651592,0.0081251,0.00457161,1300,14800
1830,0.00444294,0.00564234,0.00427626,4100,14000
1840,0.00607591,0.00727971,0.00399491,2300,13700
1850,0.00535264,0.00641878,0.00343486,900,14600
1860,0.00403179,0.00484402,0.00393063,2600,15800
1870,0.00563854,0.00662233,0.00383551,1200,15000
1880,0.00734253,0.00935561,0.00424012,2100,14200
1890,0.00554879,0.00640867,0.00483726,2900,16000
1900,0.0315695,0.0609882,0.160477,7300,13900
1910,0.0425315,0.0649079,0.16383,7600,14800
1920,0.0207697,0.0255934,0.0532118,6900,16400
1930,0.014979,0.0184993,0.0383336,6300,15800
1940,0.0090289,0.0115835,0.0219721,8300,16700
1950,0.00693332,0.00825103,0.0145042,5500,16600
1960,0.00520616,0.0064191,0.0114771,5900,15500
1970,0.00520616,0.0064191,0.0114771,5900,15500
1980,0.00793124,0.00953053,0.0100097,3500,16300
1990,0.00755685,0.00906067,0.00660075,2700,15500
2000,0.00628232,0.00731641,0.0065747,3300,14900
2010,0.00600794,0.00732304,0.00603327,3700,15800
2020,0.0068788,0.00783799,0.00463545,1900,13700
2030,0.00715637,0.00841807,0.00565341,2800,14700
2040,0.00511336,0.00628624,0.00734075,3100,16300
2050,0.00458984,0.00573729,0.00719337,5000,15300
2060,0.00730341,0.00878761,0.0106458,4500,15800
2070,0.0128157,0.0161781,0.0133399,1800,15500
2080,0.0115017,0.0134752,0.0143907,1900,14900
2090,0.00599199,0.00736406,0.0154107,8000,16600
2100,0.011066,0.0182405,0.0532148,10600,16400
2110,0.0235979,0.0332016,0.096458,8900,16900
2120,0.00750094,0.0101247,0.0241481,9900,17900
2130,0.00651592,0.00792677,0.0155598,8000,18400
2140,0.00965632,0.0112305,0.00959649,1600,16200
2150,0.0119579,0.0139107,0.00838366,1500,18300
2160,0.00544309,0.0064316,0.00519458,1700,16400
2170,0.00390112,0.0049453,0.00610402,3700,15900
2180,0.00860734,0.0100951,0.00487861,1100,16000
2190,0.0177267,0.0316738,0.108436,4700,17700
2200,0.0456653,0.0638931,0.135123,10600,15700
2210,0.0401133,0.0567428,0.146595,11600,16800
