subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
tuhaoeu,1,test,P,137,4,1060,570,P,1,response,1,1,229866,514
tuhaoeu,1,test,P,138,4,1060,570,P,1,response,1,1,231366,547
tuhaoeu,1,test,P,139,3,860,570,P,1,response,1,1,232866,580
tuhaoeu,1,test,P,140,3,860,570,P,1,response,1,1,234366,571
tuhaoeu,1,test,P,141,1,860,370,P,1,response,1,1,235866,569
tuhaoeu,1,test,P,142,3,860,570,P,1,response,1,1,237366,433
tuhaoeu,1,test,P,143,4,1060,570,P,1,response,1,1,238866,508
tuhaoeu,1,test,P,144,4,1060,570,P,1,response,1,1,240367,456
tuhaoeu,1,test,P,145,2,1060,370,R,0,NONE,0,1,241866,1450
tuhaoeu,1,test,P,146,4,1060,570,P,1,response,1,1,243366,699
tuhaoeu,1,test,P,147,2,1060,370,P,1,NONE,0,0,244866,2097
tuhaoeu,1,test,P,148,4,1060,570,P,1,response,1,1,246964,624
tuhaoeu,1,test,P,149,4,1060,570,P,1,response,1,1,247866,601
tuhaoeu,1,test,P,150,3,860,570,P,1,response,1,1,249366,564
tuhaoeu,1,test,P,151,2,1060,370,P,1,response,1,1,250866,463
tuhaoeu,1,test,P,152,1,860,370,P,1,response,1,1,252366,447
tuhaoeu,1,test,P,153,2,1060,370,P,1,response,1,1,253866,649
tuhaoeu,1,test,P,154,4,1060,570,P,1,response,1,1,255366,527
tuhaoeu,1,test,P,155,4,1060,570,P,1,response,1,1,256866,476
tuhaoeu,1,test,P,156,3,860,570,R,0,response,1,0,258366,467
tuhaoeu,1,test,P,157,4,1060,570,R,0,NONE,0,1,259866,1450
tuhaoeu,1,test,P,158,1,860,370,P,1,response,1,1,261366,455
tuhaoeu,1,test,P,159,2,1060,370,P,1,response,1,1,262866,615
tuhaoeu,1,test,P,160,1,860,370,P,1,response,1,1,264366,487
tuhaoeu,2,practice,R,1,4,1060,570,R,1,response,1,1,281617,830
tuhaoeu,2,practice,R,2,4,1060,570,P,0,NONE,0,1,283117,1450
tuhaoeu,2,practice,R,3,2,1060,370,R,1,response,1,1,284617,475
tuhaoeu,2,practice,R,4,3,860,570,R,1,response,1,1,286117,501
tuhaoeu,2,practice,R,5,3,860,570,R,1,response,1,1,287617,512
tuhaoeu,2,practice,R,6,4,1060,570,R,1,response,1,1,289117,462
tuhaoeu,2,practice,R,7,2,1060,370,R,1,response,1,1,290617,508
tuhaoeu,2,practice,R,8,3,860,570,P,0,response,1,0,292117,837
tuhaoeu,2,practice,R,9,1,860,370,R,1,response,1,1,293960,499
