subnum,trial,type,stim,tim0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
0,1,7,1,1,17599,1,507,1,NA,0,0,-17599
0,1,8,1,3,19153,2,472,0,NA,0,0,-19153
0,1,9,1,1,20846,1,481,1,NA,0,0,-20846
0,1,10,1,4,22352,2,554,1,NA,0,0,-22353
0,1,11,1,2,24074,2,669,1,NA,0,0,-24075
0,1,12,1,3,25983,1,438,1,NA,0,0,-25984
0,1,13,1,2,27663,2,789,1,NA,0,0,-27664
0,1,14,1,1,29632,1,575,1,NA,0,0,-29632
0,1,15,1,3,31024,1,826,1,NA,0,0,-31025
0,1,16,1,4,32914,2,523,1,NA,0,0,-32914
0,1,17,1,3,34718,1,385,1,NA,0,0,-34719
0,1,18,1,4,36291,2,506,1,NA,0,0,-36291
0,1,19,1,1,37862,1,543,1,NA,0,0,-37862
0,1,20,1,2,39344,2,740,1,NA,0,0,-39345
0,1,21,1,4,41048,2,638,1,NA,0,0,-41049
0,1,22,1,1,42758,1,808,1,NA,0,0,-42758
0,1,23,1,2,44528,2,697,1,NA,0,0,-44529
0,1,24,1,3,46242,1,489,1,NA,0,0,-46242
0,1,25,1,2,47858,2,408,1,NA,0,0,-47859
0,2,1,2,4,54023,NA,0,0,0,467,1,-54023
0,2,2,2,3,55606,NA,0,0,9,460,0,-55607
0,2,3,2,2,57346,NA,0,0,0,271,0,-57346
0,2,4,2,1,58845,NA,0,0,9,614,1,-58845
0,2,5,2,2,60301,NA,0,0,9,394,1,-60302
0,2,6,2,1,61647,NA,0,0,9,701,1,-61647
0,2,7,2,4,63624,NA,0,0,0,384,1,-63625
0,2,8,2,3,65049,NA,0,0,0,855,1,-65049
0,2,9,2,4,66873,NA,0,0,0,425,1,-66874
0,2,10,2,3,68482,NA,0,0,9,444,0,-68483
0,2,11,2,2,69760,NA,0,0,0,393,0,-69760
0,2,12,2,1,71035,NA,0,0,9,715,1,-71035
0,2,13,2,3,72740,NA,0,0,0,669,1,-72740
0,2,14,2,1,74475,NA,0,0,9,1206,1,-74475
0,2,15,2,4,76766,NA,0,0,0,480,1,-76767
0,2,16,2,2,78456,NA,0,0,9,571,1,-78457
0,2,17,2,4,80065,NA,0,0,0,523,1,-80067
0,2,18,2,1,81796,NA,0,0,9,580,1,-81796
0,2,19,2,3,83528,NA,0,0,0,377,1,-83529
0,2,20,2,2,84781,NA,0,0,9,814,1,-84781
0,2,21,2,1,86848,NA,0,0,9,973,1,-86848
0,2,22,2,2,88844,NA,0,0,9,484,1,-88845
0,2,23,2,3,90415,NA,0,0,0,458,1,-90415
0,2,24,2,4,91688,NA,0,0,0,354,1,-91689
0,2,25,2,3,93197,NA,0,0,0,360,1,-93197
0,3,1,3,3,96970,1,1481,1,0,1498,1,-96971
0,3,2,3,4,99651,2,679,1,0,704,1,-99651
0,3,3,3,2,101166,1,756,0,9,756,1,-101166
0,3,4,3,1,103181,1,1605,1,9,1925,1,-103182
0,3,5,3,3,106237,2,742,0,0,1686,1,-106238
0,3,6,3,4,108969,2,703,1,9,802,0,-108970
0,3,7,3,2,110811,2,1802,1,9,1843,1,-110811
0,3,8,3,1,113827,1,1879,1,9,1936,1,-113827
0,3,9,3,4,116697,2,709,1,0,846,1,-116697
0,3,10,3,2,118830,2,2080,1,9,2079,1,-118831
0,3,11,3,1,121935,1,1041,1,9,1623,1,-121936
0,3,12,3,3,124853,1,445,1,9,558,0,-124854
0,3,13,3,4,126368,2,963,1,0,1051,1,-126369
0,3,14,3,2,128335,2,595,1,0,668,0,-128335
0,3,15,3,1,130304,1,881,1,9,997,1,-130304
0,3,16,3,3,132395,2,686,0,0,1451,1,-132396
0,3,17,3,1,134884,1,755,1,9,1240,1,-134884
0,3,18,3,3,137091,1,409,1,0,724,1,-137091
0,3,19,3,2,138921,2,686,1,0,798,0,-138921
0,3,20,3,4,140904,2,965,1,0,988,1,-140904
0,3,21,3,1,143098,1,814,1,0,1320,0,-143098
0,3,22,3,2,145715,2,2806,1,9,2840,1,-145715
0,3,23,3,3,149649,1,912,1,0,946,1,-149649
0,3,24,3,4,151820,2,707,1,0,741,1,-151820
0,3,25,3,2,153454,1,684,0,0,752,0,-153454
