subid,abstime,trial,edits,deletes,edges,drawtime,standard,drawndiagram
spi2922,93392,1,19,0,10,57742,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|86;66|326;86|326;336|332;256|236;226|228;76|190;70|146;156
spi2922,187516,2,31,0,17,90602,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;304|366;304|366;367|367;326|326;331|90;133|133;313|313;371|371;370|370;331|304;313|264;273|270;130|130;127|127;267
spi2922,283862,3,29,0,16,93372,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|124;188|188;308|308;310|310;211|211;233|233;333|333;335|335;215|67;150|150;153|153;74|74;76|76;136|136;215
spi2922,403010,4,35,0,17,116373,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|164;106|106;115|158;115|178;158|178;156|156;256|256;238|238;258|258;295|295;286|295;115|113;293|233;226|226;166|166;173
spi2922,472757,5,15,0,9,67601,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|268;68|272;72|232;64|190;184|73;157
spi2922,546752,6,41,0,20,71771,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|228;184|228;192|192;112|112;130|130;170|170;188|188;145|145;85|49;109|109;130|109;91|91;112|109;149|149;170|145;109
spi2922,594761,7,29,0,14,46315,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|110;88|106;128|128;110|110;210|246;210|246;186|186;124|186;168|168;106|168;128|246;224|224;124
spi2922,685424,8,29,0,16,89401,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|169;151|151;191|191;173|173;213|213;249|173;172|172;171|151;128|128;110|110;89|89;125|110;150|249;205|205;125
spi2922,807749,9,23,0,13,120718,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|210;209|209;289|289;271|271;231|231;213|213;214|214;174|130;165|165;209|165;245|289;245
spi2922,929060,10,39,0,21,119863,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|167;211|211;193|193;171|171;153|193;213|213;231|231;211|271;235|235;255|255;291|291;271|235;213|271;249|249;231|249;209|231;209|153;193|167;247|291;247
Zel2611,87344,1,21,0,12,47620,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;146|146;150|150;70|150;156|146;326|326;336|332;256|236;226|228;76|150;190
Zel2611,240012,2,70,6,21,150375,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|90;133|127;130|127;147|147;167|167;247|247;267|267;264|267;273|130;270|133;313|313;304|304;124|304;366|313;371|371;370|366;367|367;326|326;331|331;370
Zel2611,395374,3,44,6,12,151959,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|67;150|150;153|153;74|74;76|76;136|136;215|315;215|315;313|313;233|233;211
Zel2611,499139,4,51,3,20,97047,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|164;106|106;112|226;166|166;172|112;292|292;286|226;232|292;294|294;114|112;114|114;157|294;257|257;237|157;177|177;155|155;235|255;235|255;237
Zel2611,571052,5,21,1,10,68916,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|184;189|268;68|190;189|272;72|232;64|73;157
Zel2611,652514,6,39,0,21,77099,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|184;228|85;145|145;188|228;188|188;170|170;130|130;109|109;145|109;149|149;170|228;192|130;112|112;192|112;91|91;109|49;109
Zel2611,733231,7,25,0,14,53090,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;224|224;246|124;186|186;246|246;210|106;168|168;186|168;128|128;106|88;110|110;128|110;210
Zel2611,891944,8,42,10,3,156856,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|169;249|125;145
Zel2611,1047196,9,46,6,12,150341,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;192|192;148|148;130|174;254|254;290|290;250|250;232|232;192|148;188|188;206|206;250
Zel2611,1155196,10,37,0,20,104802,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|153;190|190;212|167;211|211;212|167;247|247;291|291;211|212;292|292;291|153;193|193;212|193;215|215;255|215;234|234;212|234;274|274;255|274;252
cats3337,152763,1,29,2,10,84030,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;326|326;336|332;256|236;226|226;228|228;76|70;190|146;156
cats3337,255982,2,37,0,18,97253,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|304;124|366;304|366;367|367;326|326;331|331;370|370;371|371;313|313;133|133;90|304;313|313;273|273;264|267;127|130;127|130;270
cats3337,413128,3,54,11,7,154015,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|170;67|174;170|174;75|75;77|77;177
cats3337,527438,4,35,1,17,111504,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|286;295|258;295|258;238|238;256|256;156|156;178|178;158|158;115|115;106|106;164|115;295|293;113|173;166|166;226|226;233
cats3337,642855,5,34,3,10,110543,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|264;277|277;77|64;232|272;72|184;190|268;68|68;74|157;73
cats3337,704917,6,39,0,21,58949,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|84;184|184;228|228;188|188;145|145;85|145;109|109;49|109;91|91;112|112;130|130;109|109;149|149;170|170;130|170;188|228;192|192;112
cats3337,766212,7,25,0,14,59095,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|88;110|110;128|128;106|106;168|168;128|110;210|210;246|246;186|186;168|186;124|124;224|224;246
cats3337,862217,8,37,2,16,83237,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|128;151|110;150
cats3337,947851,9,35,4,11,82693,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|130;166|310;210|210;166|166;266|266;310|310;292|292;232|232;214|214;174
cats3337,1139857,10,49,3,20,173079,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|167;211|211;193|193;171|171;153|167;247|247;291|291;271|271;249|249;209|209;231|231;211|213;231|213;193|153;253|253;271|291;273|273;253|253;231
JLK2007,172957,1,122,4,11,153742,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|336;76|66;326|326;336|226;236|326;226|332;256|95;228|228;146|146;156|70;71
JLK2007,326410,2,99,2,21,149047,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|90;133|313;133|133;313|313;371|371;370|370;331|366;365|124;304|313;304|366;325|325;331|365;304|304;264|264;273|273;270|270;130|130;127|127;247|267;247
JLK2007,432021,3,57,0,16,103698,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|188;124|188;308|308;310|310;211|211;233|233;333|333;335|335;215|215;136|136;76|76;74|74;153|153;150|150;67
JLK2007,589454,4,128,7,13,150201,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|164;106|226;166|166;173|233;293|293;113|113;106|286;293|226;233|233;293|293;295|295;115
JLK2007,726594,5,85,4,11,134374,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|277;77|264;277|268;68|272;72|157;73|73;64|232;64|64;190|190;184
JLK2007,884646,6,105,6,22,153389,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|85;145|145;109|109;49|84;184|145;188|228;184|188;228|109;130|130;112|228;192|192;112|112;130|130;170|188;170|149;170|149;109|109;91|91;112
JLK2007,949413,7,33,0,14,62443,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|88;110|110;128|106;128|128;168|106;168|168;186|124;186|246;186|224;124|224;246|246;210|110;210
JLK2007,1044720,8,41,0,17,84896,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|249;205|205;125|125;89|89;125|110;89|110;128|128;151|169;151|151;191|191;173|173;213|213;249|173;172|172;171|110;150
JLK2007,1164846,9,37,0,12,112236,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|209;210|209;165|130;165|165;245|245;289|289;209|289;271|231;271|231;214|214;174
JLK2007,1322879,10,58,2,16,153038,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|167;211|212;193|211;193|193;171|171;153|167;247|247;291|291;271|271;249|249;209|209;231|231;213|213;193|211;231
riz7108,50756,1,15,0,9,39476,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;326|336;326|332;256|236;226|228;76|190;70|146;156
riz7108,142205,2,36,0,17,86271,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;304|304;366|366;367|367;326|326;331|331;370|371;370|371;313|313;133|133;90|127;130|130;270|267;127|264;273|313;304
riz7108,216883,3,29,0,16,71359,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|124;188|67;150|150;153|153;74|74;76|76;136|136;215|215;335|333;335|333;233|233;211|211;310|310;308|308;188
riz7108,317387,4,31,0,17,97781,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|286;295|295;258|258;238|238;256|256;156|156;178|178;158|158;115|115;106|106;164|295;115|113;293|226;233|166;173|226;166
