subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
111,3,231,1,50,5.25,-1,0,365437,666
111,3,232,1,20,4.25,1,1,366710,2650
111,3,233,1,20,4,-1,1,369966,629
111,3,234,1,6,2,-1,1,371199,528
111,3,235,1,6,1.75,1,1,372333,507
111,3,236,1,20,3.75,-1,1,373446,533
111,3,237,1,6,1.5,1,1,374584,480
111,3,238,1,50,6.25,1,0,375668,470
111,3,239,1,6,1.25,-1,1,376746,581
111,3,240,1,100,13,1,1,377935,428
111,3,241,1,100,12.75,1,1,378971,500
111,3,242,1,100,12.5,1,1,380090,459
111,3,243,1,50,7.25,1,1,381158,557
111,3,244,1,20,3.5,-1,1,382322,527
111,3,245,1,100,12.25,1,1,383457,346
111,3,246,1,6,1,1,0,384418,475
111,3,247,1,6,2,-1,1,385498,395
111,3,248,1,100,12,1,1,386498,468
111,3,249,1,6,1.75,1,1,387582,595
111,3,250,1,20,3.25,1,0,388783,489
111,3,251,1,6,1.5,-1,0,389878,412
111,3,252,1,50,7,1,1,390896,430
111,3,253,1,6,2.5,1,0,391934,622
111,3,254,1,100,11.75,-1,1,393162,489
111,3,255,1,20,4.25,-1,0,394263,582
111,3,256,1,50,6.75,-1,0,395453,486
111,3,257,1,20,5.25,-1,1,396548,780
111,3,258,1,6,3.5,1,1,397934,912
111,3,259,1,100,11.5,1,1,399452,414
111,3,260,1,50,7.75,1,1,400478,434
111,3,261,1,100,11.25,-1,0,401515,464
111,3,262,1,50,7.5,1,1,402593,803
111,3,263,1,6,3.25,1,0,404000,803
111,3,264,1,6,4.25,-1,1,405408,547
111,3,265,1,50,7.25,1,1,406561,546
111,3,266,1,100,12.25,1,1,407721,418
111,3,267,1,6,4,-1,1,408756,729
111,3,268,1,20,5,1,1,410092,563
111,3,269,1,50,7,1,1,411259,453
111,3,270,1,100,12,1,1,412321,581
111,3,271,1,6,3.75,1,1,413517,603
111,3,272,1,50,6.75,1,1,414727,449
111,3,273,1,100,11.75,-1,0,415782,515
111,3,274,1,50,6.5,-1,1,416903,551
111,3,275,1,50,6.25,-1,1,418058,911
111,3,276,1,50,6,-1,1,419579,1108
111,3,277,1,20,4.75,1,1,421295,1737
111,3,278,1,100,12.75,1,1,423641,955
111,3,279,1,100,12.5,1,1,425201,1506
111,3,280,1,50,5.75,-1,0,427324,1086
111,3,281,1,6,3.5,-1,1,429022,674
111,3,282,1,100,12.25,-1,1,430303,441
111,3,283,1,20,4.5,1,1,431362,669
111,3,284,1,20,4.25,-1,0,432639,354
111,3,285,1,6,3.25,1,1,433598,436
111,3,286,1,20,5.25,-1,1,434639,690
111,3,287,1,50,6.75,1,0,435933,638
111,3,288,1,20,5,-1,0,437179,480
111,3,289,1,6,3,-1,1,438264,565
111,3,290,1,100,12,-1,1,439436,370
111,3,291,1,50,7.75,-1,1,440423,577
111,3,292,1,6,2.75,1,1,441607,546
111,3,293,1,100,11.75,-1,1,442757,579
111,3,294,1,20,6,-1,1,443955,489
111,3,295,1,100,11.5,1,0,445053,489
111,3,296,1,6,2.5,-1,1,446157,599
111,3,297,1,20,5.75,1,0,447361,479
111,3,298,1,50,7.5,-1,0,448448,958
111,3,299,1,100,12.5,-1,1,450012,366
111,3,300,1,20,6.75,1,1,450987,668
111,4,301,1,6,2.25,-1,1,455150,842
111,4,302,1,6,2,1,1,456597,771
111,4,303,1,100,12,-1,0,457974,531
111,4,304,1,6,1.75,-1,1,459116,1389
111,4,305,1,6,1.5,-1,1,461111,553
111,4,306,1,50,6.25,1,1,462270,491
111,4,307,1,20,4.25,1,0,463368,597
111,4,308,1,100,13,-1,1,464574,549
111,4,309,1,50,6,1,1,465739,705
111,4,310,1,50,5.75,-1,0,467051,371
111,4,311,1,50,6.75,-1,1,468031,367
111,4,312,1,6,1.25,-1,0,469007,610
111,4,313,1,20,5.25,1,0,470223,411
111,4,314,1,20,6.25,-1,1,471240,652
111,4,315,1,6,2.25,1,0,472496,599
111,4,316,1,6,3.25,1,1,473697,497
111,4,317,1,100,12.75,1,0,474801,672
111,4,318,1,20,6,-1,1,476089,543
111,4,319,1,6,3,1,1,477236,598
111,4,320,1,6,2.75,1,1,478440,863
111,4,321,1,100,13.75,-1,1,479911,575
111,4,322,1,6,2.5,-1,1,481102,1341
111,4,323,1,100,13.5,1,0,483049,583
111,4,324,1,100,14.5,-1,1,484246,455
111,4,325,1,50,6.5,-1,0,485319,559
111,4,326,1,6,2.25,-1,1,486486,551
111,4,327,1,100,14.25,-1,1,487645,499
111,4,328,1,100,14,1,0,488754,695
111,4,329,1,20,5.75,-1,0,490053,768
111,4,330,1,20,6.75,1,1,491427,541
111,4,331,1,20,6.5,-1,1,492575,523
111,4,332,1,100,15,1,1,493707,568
111,4,333,1,6,2,-1,1,494882,517
111,4,334,1,20,6.25,-1,1,496004,439
111,4,335,1,50,7.5,-1,1,497049,456
111,4,336,1,100,14.75,-1,1,498118,428
111,4,337,1,100,14.5,-1,1,499164,479
111,4,338,1,100,14.25,-1,0,500261,697
111,4,339,1,50,7.25,-1,0,501575,831
111,4,340,1,6,1.75,1,1,503013,1049
111,4,341,1,6,1.5,1,0,504667,1049
111,4,342,1,6,2.5,1,1,506320,603
111,4,343,1,100,15.25,-1,0,507530,519
111,4,344,1,50,8.25,1,0,508665,527
111,4,345,1,6,2.25,1,0,509801,611
111,4,346,1,50,9.25,1,0,511017,442
111,4,347,1,50,10.25,1,1,512068,667
111,4,348,1,20,6,1,0,513345,566
111,4,349,1,20,7,1,1,514516,457
111,4,350,1,100,16.25,1,1,515581,569
111,4,351,1,6,3.25,-1,1,516763,792
111,4,352,1,20,6.75,-1,1,518161,527
111,4,353,1,6,3,1,1,519295,1539
111,4,354,1,20,6.5,1,1,521439,589
111,4,355,1,100,16,-1,1,522635,716
111,4,356,1,6,2.75,1,0,523963,852
111,4,357,1,50,10,1,0,525421,467
111,4,358,1,20,6.25,-1,1,526499,608
111,4,359,1,100,15.75,1,0,527715,486
111,4,360,1,100,16.75,-1,1,528820,562
111,4,361,1,20,6,1,1,529995,593
111,4,362,1,50,11,-1,1,531193,788
111,4,363,1,6,3.75,-1,0,532587,886
111,4,364,1,100,16.5,-1,0,534081,441
111,4,365,1,20,5.75,1,0,535127,574
111,4,366,1,6,4.75,1,1,536307,640
111,4,367,1,50,10.75,-1,0,537553,566
111,4,368,1,50,11.75,1,1,538729,515
111,4,369,1,20,6.75,1,0,539855,777
111,4,370,1,50,11.5,1,1,541239,516
111,4,371,1,100,17.5,1,1,542361,526
111,4,372,1,50,11.25,-1,0,543502,733
111,4,373,1,20,7.75,1,1,544846,941
111,4,374,1,50,12.25,1,1,546394,840
111,4,375,1,50,12,1,1,547846,656
111,4,376,1,20,7.5,-1,1,549112,579
111,4,377,1,6,4.5,-1,1,550298,605
111,4,378,1,50,11.75,1,0,551509,443
111,4,379,1,50,12.75,1,1,552563,762
111,4,380,1,100,17.25,1,0,553935,418
111,4,381,1,20,7.25,1,1,554963,504
111,4,382,1,20,7,1,0,556071,475
111,4,383,1,50,12.5,-1,1,557152,469
111,4,384,1,20,8,1,1,558231,561
111,4,385,1,6,4.25,-1,1,559398,525
111,4,386,1,50,12.25,1,0,560531,398
111,4,387,1,100,18.25,-1,1,561540,377
111,4,388,1,6,4,-1,1,562534,468
111,4,389,1,50,13.25,1,0,563609,572
111,4,390,1,100,18,1,1,564793,488
111,4,391,1,100,17.75,-1,0,565899,352
111,4,392,1,6,3.75,1,1,566867,521
111,4,393,1,100,18.75,-1,1,567995,477
111,4,394,1,50,14.25,1,0,569086,542
111,4,395,1,20,7.75,-1,0,570239,642
111,4,396,1,20,8.75,1,1,571486,426
111,4,397,1,20,8.5,1,1,572518,469
111,4,398,1,20,8.25,1,1,573591,481
111,4,399,1,50,15.25,-1,1,574683,403
111,4,400,1,100,18.5,1,0,575695,479
