subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
1313131,116,MERCHANT,8,293060,0,MERCHANT,760,1263,1,8,0
1313131,117,DNEIAIFY,8,295521,1,DNEIAIFY,947,1507,1,8,0
1313131,118,PERSUADE,8,298624,0,PERSUADE,1139,1959,1,10,1
1313131,119,KINDNESS,8,300707,0,KINDNESS,687,1386,1,8,0
1313131,120,DNEIAIFY,8,303377,1,DNEIAIFY,801,1861,1,8,0
1313131,121,TWILIGHT,8,305794,0,TWILIGHT,1079,1332,1,8,0
1313131,122,DNEIAIFY,8,308659,1,DNEIAIFY,1398,1457,1,8,0
1313131,123,DNEIAIFY,8,311099,1,DNEIAIFY,1093,1344,1,8,0
1313131,124,PLATFORM,8,313579,0,PLATFORM,1130,1338,1,8,0
1313131,125,DNEIAIFY,8,316294,1,DNEIAIFY,1124,1582,1,8,0
1313131,126,DNEIAIFY,8,319670,1,DNEIAIFY,806,2561,1,8,0
1313131,127,PROVINCE,8,322679,0,PROVINCE,809,2192,1,12,2
1313131,128,DNEIAIFY,8,325152,1,DNEIAIFY,745,1722,1,8,0
1313131,129,PATIENCE,8,328093,0,PATIENCE,1063,1869,1,10,1
1313131,130,DISTRESS,8,330867,0,DISTRESS,693,2070,1,14,3
1313131,131,SPLENDID,8,333236,0,SPLENDID,1047,1314,1,8,0
1313131,132,DNEIAIFY,8,336443,1,DNEIAIFY,667,2531,1,8,0
1313131,133,WRETCHED,8,338546,0,WRETCHED,1007,1087,1,8,0
1313131,134,DARKNESS,8,340914,0,DARKNESS,732,1624,1,8,0
1313131,135,JUDGMENT,8,344451,0,JUDGMENT,772,2755,1,14,3
1313131,136,DNEIAIFY,8,347386,1,DNEIAIFY,551,2374,1,10,1
1313131,137,CONTRAST,8,348983,0,CONTRAST,607,982,1,8,0
1313131,138,DNEIAIFY,8,351037,1,DNEIAIFY,588,1456,1,8,0
1313131,139,DNEIAIFY,8,354020,1,DNEIAIFY,590,2384,1,8,0
1313131,140,DNEIAIFY,8,356645,1,DNEIAIFY,558,2057,1,8,0
1313131,141,DISGRACE,8,359088,0,DISGRACE,686,1752,1,10,1
1313131,142,DNEIAIFY,8,361177,1,DNEIAIFY,655,1425,1,8,0
1313131,143,DNEIAIFY,8,364106,1,DNEIAIFY,585,2334,1,12,2
1313131,144,INSTRUCT,8,366068,0,INSTRUCT,736,1216,1,8,0
1313131,145,DNEIAIFY,8,368525,1,DNEIAIFY,815,1634,1,8,0
1313131,146,DISGUISE,8,370827,0,DISGUISE,594,1699,1,8,0
1313131,147,DNEIAIFY,8,372927,1,DNEIAIFY,595,1496,1,8,0
1313131,148,ACQUAINT,8,374897,0,ACQUAINT,777,1184,1,8,0
1313131,149,DNEIAIFY,8,376885,1,DNEIAIFY,621,1357,1,8,0
1313131,150,LIKEWISE,8,378549,0,LIKEWISE,673,980,1,8,0
1313131,151,APPROACH,8,380300,0,APPROACH,656,1087,1,8,0
1313131,152,DNEIAIFY,8,382254,1,DNEIAIFY,632,1318,1,8,0
1313131,153,DISTANCE,8,383599,0,DISTANCE,579,757,1,8,0
1313131,154,RESTLESS,8,385275,0,RESTLESS,700,968,1,8,0
1313131,155,DNEIAIFY,8,387206,1,DNEIAIFY,763,1157,1,8,0
1313131,156,DNEIAIFY,8,389086,1,DNEIAIFY,557,1315,1,8,0
1313131,157,BOUNDARY,8,390530,0,BOUNDARY,772,661,1,8,0
1313131,158,DNEIAIFY,8,392418,1,DNEIAIFY,588,1291,1,8,0
1313131,159,STOCKING,8,394153,0,STOCKING,694,1035,1,8,0
1313131,160,DNEIAIFY,8,396401,1,DNEIAIFY,751,1489,1,8,0
