"subnum" "trial" "step" "startx" "starty" "xtrans" "ytrans" "label" "targx" "targy" "dist" "timeout" "hit" "rt"
111 5 1 987 969 1 -1 "MODIFIED5" 1070 818 172.308 2000 1 2004
111 5 2 1065 272 1 -1 "MODIFIED5" 770 813 616.203 2000 1 811
111 5 3 771 286 1 -1 "MODIFIED5" 1019 645 436.331 2000 1 1361
111 5 4 1010 421 1 -1 "MODIFIED5" 742 762 433.711 2000 1 531
111 5 5 736 313 1 -1 "MODIFIED5" 795 467 164.915 2000 1 1201
111 5 6 798 597 1 -1 "MODIFIED5" 906 745 183.216 2000 1 1341
111 5 7 913 349 1 -1 "MODIFIED5" 934 446 99.2472 2000 1 1261
111 5 8 930 619 1 -1 "MODIFIED5" 634 438 346.954 2000 1 601
111 5 9 652 643 1 -1 "MODIFIED5" 934 452 340.595 2000 1 421
111 5 10 941 611 1 -1 "MODIFIED5" 634 442 350.443 2000 1 1661
111 5 11 640 656 1 -1 "MODIFIED5" 874 262 458.249 2000 1 1121
111 5 12 886 808 1 -1 "MODIFIED5" 589 355 541.681 2000 1 651
111 5 13 575 707 1 -1 "MODIFIED5" 710 630 155.416 2000 1 881
111 5 14 693 440 1 -1 "MODIFIED5" 1009 650 379.415 2000 1 1001
111 5 15 1008 449 1 -1 "MODIFIED5" 743 513 272.619 2000 1 1041
111 5 16 750 580 1 -1 "MODIFIED5" 992 679 261.467 2000 1 593
111 5 17 1005 403 1 -1 "MODIFIED5" 1202 465 206.526 2000 1 811
111 5 18 1186 610 1 -1 "MODIFIED5" 981 262 403.892 2000 1 951
111 5 19 990 807 1 -1 "MODIFIED5" 1062 551 265.932 2000 1 1351
111 5 20 1062 547 1 -1 "MODIFIED5" 1353 624 301.015 2000 1 961
111 5 21 1351 474 1 -1 "MODIFIED5" 1141 411 219.246 2000 1 1191
111 5 22 1152 676 1 -1 "MODIFIED5" 931 625 226.808 2000 1 881
111 5 23 945 461 1 -1 "MODIFIED5" 1231 609 322.025 2000 1 741
111 5 24 1214 464 1 -1 "MODIFIED5" 1212 310 154.013 2000 1 653
111 5 25 1217 753 1 -1 "MODIFIED5" 1103 589 199.73 2000 0 2001
111 5 26 1121 410 1 -1 "MODIFIED5" 807 638 388.046 2000 1 1641
111 5 27 800 424 1 -1 "MODIFIED5" 1075 772 443.541 2000 1 803
111 5 28 1063 322 1 -1 "MODIFIED5" 1054 473 151.268 2000 1 941
111 5 29 1049 590 1 -1 "MODIFIED5" 763 399 343.914 2000 1 1491
111 5 30 774 667 1 -1 "MODIFIED5" 1012 567 258.155 2000 1 1421
111 6 1 965 981 1 -1 "MODIFIED6" 1007 836 150.96 2000 1 1504
111 6 2 1004 261 1 -1 "MODIFIED6" 714 772 587.555 2000 1 1201
111 6 3 704 325 1 -1 "MODIFIED6" 1013 787 555.81 2000 1 391
