function_name,function_type,library,namespace,parameters,in_reference,in_source,status,Action,sphinx_implemented
Abs,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Absfloor,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Acceptnetworkconnection,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Acos,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Addobject,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Addobjectx,PEBL_FUNCTION,Graphics.pbl,,"obj, win",NO,NO,PEBL_UNDOCUMENTED,HIDDEN,hidden
Append,COMPILED,,PEBLList,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Appenddirlist,PEBL_FUNCTION,Utility.pbl,,"dirlist, dir",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (full)
Appendfile,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Asin,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Atan,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
B,PEBL_FUNCTION,HTML.pbl,,text,YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
Bezier,COMPILED,,PEBLObjects,6 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Blocke,PEBL_FUNCTION,Graphics.pbl,,"x, y, h, w, thick, dir, color",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Bound,PEBL_FUNCTION,Math.pbl,,"number, min, max",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,math.rst (stub)
Br,PEBL_FUNCTION,HTML.pbl,,,YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
Calibratescreen,PEBL_FUNCTION,Utility.pbl,,win,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Callfunction,COMPILED,,PEBLEnvironment,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Ceiling,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Checkfornetworkconnection,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Choosen,PEBL_FUNCTION,Design.pbl,,"list, number",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Circle,COMPILED,,PEBLObjects,5 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Cleareventloop,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Clearscrollboxthumbcapture,PEBL_FUNCTION,UI.pbl,,"obj, p, event:0",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Cleartextbox,PEBL_FUNCTION,UI.pbl,,"menu, xy, box",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Clickcheckbox,PEBL_FUNCTION,UI.pbl,,"cb, pos, evt:0",YES,NO,OBSOLETE_OR_MISSING,COMPLETE,
Clickon,PEBL_FUNCTION,Utility.pbl,,"obj, xy",YES,NO,OBSOLETE_OR_MISSING,COMPLETE,utility.rst (full)
Clickonmenu,PEBL_FUNCTION,UI.pbl,,"obj, xy",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Clickonscrollbox,PEBL_FUNCTION,UI.pbl,,"obj, click, evt:0",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Clickonscrollingtextbox,PEBL_FUNCTION,UI.pbl,,"obj, click, evt:0",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Closenetworkconnection,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Comportgetbyte,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Comportsendbyte,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Concatenatelist,PEBL_FUNCTION,Utility.pbl,,"list, sep:"" """,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Connecteyetracker,COMPILED,,PEBLObjects,0 args,NO,YES,COMPILED_UNDOCUMENTED,HIDDEN,hidden
Connecttohost,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Connecttoip,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Convertipstring,PEBL_FUNCTION,Utility.pbl,,ip,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Convexhull,PEBL_FUNCTION,Graphics.pbl,,pts,YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Copyfile,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Copyfromclipboard,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Copytextbox,PEBL_FUNCTION,UI.pbl,,"menu, xy, box",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Copytoclipboard,COMPILED,,PEBLString,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstring.rst (full)
Cos,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Countdown,PEBL_FUNCTION,Utility.pbl,,"win, usebg:1",YES,NO,OBSOLETE_OR_MISSING,COMPLETE,utility.rst (full)
Cr,PEBL_FUNCTION,Utility.pbl,,n:1,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Createparameters,PEBL_FUNCTION,Utility.pbl,,"defaults, file",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (full)
Crossfactorwithoutduplicates,COMPILED,,PEBLList,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Ct,PEBL_FUNCTION,HTML.pbl,,tag,YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
Cumnorminv,PEBL_FUNCTION,Math.pbl,,p,YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Cumsum,PEBL_FUNCTION,Math.pbl,,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Degtorad,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Deletefile,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Designbalancedsampling,PEBL_FUNCTION,Design.pbl,,"list, number",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Designfullcounterbalance,COMPILED,,PEBLList,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (stub)
Designgrecolatinsquare,PEBL_FUNCTION,Design.pbl,,"a, b, c",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Designlatinsquare,PEBL_FUNCTION,Design.pbl,,"list1, list2",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Dirlisttotext,PEBL_FUNCTION,Utility.pbl,,list,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Dirtotext,PEBL_FUNCTION,Utility.pbl,,"dirlist, filelist, path",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (full)
Dist,PEBL_FUNCTION,Math.pbl,,"a, b",YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Div,COMPILED,,PEBLMath,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Draw,COMPILED,,PEBLObjects,0-1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Drawbutton,PEBL_FUNCTION,UI.pbl,,button,YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Drawfor,COMPILED,,PEBLObjects,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Drawobject,PEBL_FUNCTION,Utility.pbl,,p,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Drawpulldown,PEBL_FUNCTION,UI.pbl,,obj,YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Drawscrollbox,PEBL_FUNCTION,UI.pbl,,obj,YES,NO,OBSOLETE_OR_MISSING,COMPLETE,
Drawscrollingtextbox,PEBL_FUNCTION,UI.pbl,,obj,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Easylabel,PEBL_FUNCTION,Utility.pbl,,"text, xx, yy, parent, fontsize:16, fg:"""", style:0",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Easytextbox,PEBL_FUNCTION,Utility.pbl,,"text, x, y, win, fontsize, width, height, fgcolor:""black"", bgcolor:""white""",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Editscrollboxvalue,PEBL_FUNCTION,UI.pbl,,"win, click, default, selected",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Ellipse,COMPILED,,PEBLObjects,6 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Endoffile,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Endofline,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Endswith,PEBL_FUNCTION,Utility.pbl,,"string, suffix",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Enquote,PEBL_FUNCTION,Utility.pbl,,text,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Entag,PEBL_FUNCTION,HTML.pbl,,"tag, body",YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
Exitquietly,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Exp,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Extractlistitems,PEBL_FUNCTION,Design.pbl,,"list, items",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Fetchtext,PEBL_FUNCTION,Utility.pbl,,source,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Fifth,COMPILED,,PEBLList,1 args,NO,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Fileclose,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Fileexists,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Fileopenappend,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Fileopenoverwrite,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Fileopenread,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Fileopenwrite,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Filepicker,PEBL_FUNCTION,UI.pbl,,"path, filter:""""",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Fileprint,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Fileprint_,,,,,YES,YES,DOCUMENTED,COMPLETE,
Fileprintlist,PEBL_FUNCTION,Utility.pbl,,"file, list, sep:"" """,YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Filereadcharacter,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Filereadline,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Filereadlist,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Filereadtable,COMPILED,,PEBLStream,1-2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Filereadtext,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Filereadword,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Filter,PEBL_FUNCTION,Math.pbl,,"list, match",YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Filterlist,PEBL_FUNCTION,UI.pbl,,"list, filter",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Findinstring,COMPILED,,PEBLString,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstring.rst (full)
Findtoken,PEBL_FUNCTION,Design.pbl,,"token, nestedlist",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,design.rst (full)
First,COMPILED,,PEBLList,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Flatten,PEBL_FUNCTION,Design.pbl,,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Flattenn,PEBL_FUNCTION,Design.pbl,,"list, n",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Floor,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Foldlist,PEBL_FUNCTION,Design.pbl,,"list, length",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Format,PEBL_FUNCTION (wraps compiled),Utility.pbl,PEBLString,"val, size",YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstring.rst (full)
Formattext,PEBL_FUNCTION,Utility.pbl,,text,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Fourth,COMPILED,,PEBLList,1 args,NO,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Gabor,,,,,NO,YES,SOURCE_UNDOCUMENTED,DEPRECATED,DEPRECATED
Getabsoluteposition,PEBL_FUNCTION,UI.pbl,,widget,YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Getangle,PEBL_FUNCTION,Graphics.pbl,,"dx, dy",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Getangle3,PEBL_FUNCTION,Graphics.pbl,,"a, b, c",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Getcurrentscreenresolution,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Getcursorposition,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Getdata,COMPILED,,PEBLStream,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Getdirectory,PEBL_FUNCTION,Utility.pbl,,"filepath, separator:""/""",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (full)
Getdirectorylisting,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Getdrivers,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Geteasychoice,PEBL_FUNCTION,Utility.pbl,,"text, choices, output, win",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Geteasyinput,PEBL_FUNCTION,Utility.pbl,,"text, win",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Geteasymultichoice,PEBL_FUNCTION,Utility.pbl,,"text, choices, output, win, minchoices:1, maxchoices:1",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Getexecutablename,COMPILED,,PEBLEnvironment,0 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
