function_name,function_type,library,namespace,parameters,in_reference,in_source,status,Action,sphinx_implemented
Iscanvas,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Iscolor,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Iscustomobject,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isdirectory,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isfilestream,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isfloat,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isfont,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isimage,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isinteger,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isjoystick,,,,,NO,YES,SOURCE_UNDOCUMENTED,NOT_AVAILABLE,Exists in source but not registered in Functions.h
Iskeydown,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Iskeyup,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Islabel,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Islist,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Ismember,COMPILED,,PEBLList,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (stub)
Isnumber,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isproperty,PEBL_FUNCTION,Utility.pbl,,"object, prop",NO,NO,PEBL_UNDOCUMENTED,TO_DOCUMENT,utility.rst (stub)
Isshape,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isstring,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Istext,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Istextbox,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Isurl,PEBL_FUNCTION,Utility.pbl,,string,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Iswidget,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Iswindow,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Jsontext,PEBL_FUNCTION,Utility.pbl,,"obj, indent:0",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Kaniszapolygon,PEBL_FUNCTION,Graphics.pbl,,"points, circTF, circleradius, fg, bg, show",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Kaniszasquare,PEBL_FUNCTION,Graphics.pbl,,"squaresize, circleradius, fg, bg",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Landoltring,PEBL_FUNCTION,Graphics.pbl,,"outer, inner, angle, lgap, color, bgcolor",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,graphics.rst (full)
Last,COMPILED,,PEBLList,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Latinsquare,PEBL_FUNCTION,Design.pbl,,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Launchfile,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Layoutgrid,PEBL_FUNCTION,Graphics.pbl,,"xmin, xmax, ymin, ymax, tall, wide, vertical",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Layoutgrid2,PEBL_FUNCTION,Graphics.pbl,,"high, across, centerx, centery, width, height",NO,NO,PEBL_UNDOCUMENTED,INVESTIGATE,graphics.rst (investigate)
Length,COMPILED,,PEBLList,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Levels,PEBL_FUNCTION,Design.pbl,,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Likerttrial,PEBL_FUNCTION,Utility.pbl,,text,NO,NO,PEBL_UNDOCUMENTED,COMPLETE,utility.rst (stub)
Line,COMPILED,,PEBLObjects,5 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
List,COMPILED,,PEBLList,1-1000 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Listby,PEBL_FUNCTION,Design.pbl,,"vals, cond",YES,NO,PEBL_DOCUMENTED,COMPLETE,design.rst (full)
Listtohumantext,PEBL_FUNCTION,Utility.pbl,,"list, connector:""or""",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Listtostring,COMPILED,,PEBLList,1-4 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,pebllist.rst (full)
Ln,COMPILED,,PEBLMath,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Loadaudiofile,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Loadmovie,COMPILED,,PEBLObjects,4 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Loadsound,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Log10,,,,,YES,YES,DOCUMENTED,COMPLETE,
Log2,,,,,YES,YES,DOCUMENTED,COMPLETE,
Logn,COMPILED,,PEBLMath,2 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblmath.rst (full)
Lookup,PEBL_FUNCTION,Utility.pbl,,"key, keylist, database",YES,NO,PEBL_DOCUMENTED,COMPLETE,utility.rst (full)
Lowercase,COMPILED,,PEBLString,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstring.rst (full)
Makeattneave,PEBL_FUNCTION,Graphics.pbl,,"size, numpoints, minangle, maxangle",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Makeaudioinputbuffer,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Makebutton,PEBL_FUNCTION,UI.pbl,,"label, x, y, win, width",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Makecanvas,COMPILED,,PEBLObjects,2-3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Makecheckbox,PEBL_FUNCTION,UI.pbl,,"label, x, y, win, width",YES,NO,OBSOLETE_OR_MISSING,COMPLETE,
Makechirp,COMPILED,,PEBLObjects,3 args,NO,YES,COMPILED_UNDOCUMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED
Makecolor,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Makecolorrgb,COMPILED,,PEBLObjects,3 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Makecustomobject,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Makedirectory,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Makedivpage,PEBL_FUNCTION,HTML.pbl,,text,YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
Makefont,COMPILED,,PEBLObjects,6 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
