"subnum" "stimtype" "block" "trialtype" "trial" "condition" "stim" "dim1" "dim2" "time0" "resp1" "rt1" "corr1" "resp2" "rt2" "corr2" "tooslow"
333 4 4 "TEST" 20 1 1 1 1 294103 1 391 1 NA 0 0 0
333 4 4 "TEST" 21 1 3 1 0 295380 1 425 1 NA 0 0 0
333 4 4 "TEST" 22 1 1 1 1 296630 1 498 1 NA 0 0 0
333 4 4 "TEST" 23 1 2 0 1 298095 2 500 1 NA 0 0 0
333 4 4 "TEST" 24 1 4 0 0 299795 2 436 1 NA 0 0 0
333 4 4 "TEST" 25 1 3 1 0 301413 1 471 1 NA 0 0 0
333 4 5 "PRACTICE" -25 2 3 1 0 306546 NA 0 0 9 446 0 0
333 4 5 "PRACTICE" -24 2 4 0 0 308405 NA 0 0 0 529 1 0
333 4 5 "PRACTICE" -23 2 1 1 1 309942 NA 0 0 0 491 0 0
333 4 5 "PRACTICE" -22 2 2 0 1 312214 NA 0 0 0 860 0 0
333 4 5 "PRACTICE" -21 2 3 1 0 314525 NA 0 0 0 535 1 0
333 4 5 "PRACTICE" -20 2 2 0 1 316044 NA 0 0 9 493 1 0
333 4 5 "PRACTICE" -19 2 4 0 0 317474 NA 0 0 0 494 1 0
333 4 5 "PRACTICE" -18 2 1 1 1 318981 NA 0 0 9 411 1 0
333 4 5 "TEST" 1 2 3 1 0 320607 NA 0 0 0 428 1 0
333 4 5 "TEST" 2 2 1 1 1 322262 NA 0 0 9 430 1 0
333 4 5 "TEST" 3 2 4 0 0 323987 NA 0 0 0 404 1 0
333 4 5 "TEST" 4 2 2 0 1 325425 NA 0 0 9 454 1 0
333 4 5 "TEST" 5 2 3 1 0 326877 NA 0 0 0 459 1 0
333 4 5 "TEST" 6 2 2 0 1 328469 NA 0 0 9 467 1 0
333 4 5 "TEST" 7 2 1 1 1 330011 NA 0 0 9 428 1 0
333 4 5 "TEST" 8 2 4 0 0 331682 NA 0 0 0 415 1 0
333 4 5 "TEST" 9 2 2 0 1 333346 NA 0 0 9 429 1 0
333 4 5 "TEST" 10 2 4 0 0 334820 NA 0 0 0 398 1 0
333 4 5 "TEST" 11 2 1 1 1 336437 NA 0 0 9 397 1 0
333 4 5 "TEST" 12 2 3 1 0 337700 NA 0 0 0 538 1 0
333 4 5 "TEST" 13 2 1 1 1 339537 NA 0 0 9 392 1 0
333 4 5 "TEST" 14 2 2 0 1 341207 NA 0 0 9 525 1 0
333 4 5 "TEST" 15 2 4 0 0 342736 NA 0 0 0 515 1 0
333 4 5 "TEST" 16 2 3 1 0 344467 NA 0 0 0 429 1 0
333 4 5 "TEST" 17 2 4 0 0 346130 NA 0 0 0 418 1 0
333 4 5 "TEST" 18 2 2 0 1 347570 NA 0 0 9 510 1 0
333 4 5 "TEST" 19 2 1 1 1 348925 NA 0 0 9 533 1 0
333 4 5 "TEST" 20 2 3 1 0 350602 NA 0 0 0 442 1 0
333 4 5 "TEST" 21 2 2 0 1 352147 NA 0 0 9 413 1 0
333 4 5 "TEST" 22 2 1 1 1 353466 NA 0 0 9 495 1 0
333 4 5 "TEST" 23 2 3 1 0 354833 NA 0 0 0 502 1 0
333 4 5 "TEST" 24 2 4 0 0 356618 NA 0 0 0 472 1 0
333 4 5 "TEST" 25 2 3 1 0 358109 NA 0 0 0 470 1 0
333 4 6 "PRACTICE" -25 3 2 0 1 366376 2 550 1 9 556 1 0
