subnum,maze,event,move,pos,x,y,abstime
11111,JSON Object,MOVE,[7, 3],826,363,327536
11111,JSON Object,MOVE,[8, 3],826,390,327687
11111,JSON Object,MOVE,[9, 3],826,416,328390
11111,JSON Object,MOVE,[10, 3],826,443,328570
11111,JSON Object,MOVE,[11, 3],826,470,328727
11111,JSON Object,MOVE,[11, 4],853,470,328890
11111,JSON Object,MOVE,[11, 5],880,470,329089
11111,JSON Object,MOVE,[11, 6],906,470,329297
11111,JSON Object,MOVE,[12, 6],906,496,329479
11111,JSON Object,MOVE,[12, 6],906,496,329613
11111,JSON Object,MOVE,[12, 6],906,496,329791
11111,JSON Object,MOVE,[12, 6],906,496,329954
11111,JSON Object,MOVE,[12, 6],906,496,330134
11111,JSON Object,MOVE,[11, 6],906,470,330399
11111,JSON Object,MOVE,[11, 7],933,470,330565
11111,JSON Object,MOVE,[11, 7],933,470,330723
11111,JSON Object,MOVE,[12, 7],933,496,330823
11111,JSON Object,MOVE,[12, 8],959,496,330976
11111,JSON Object,MOVE,[12, 9],986,496,331165
11111,JSON Object,MOVE,[12, 10],1013,496,331337
11111,JSON Object,MOVE,[12, 11],1040,496,331502
11111,JSON Object,MOVE,[13, 11],1040,523,331681
11111,JSON Object,MOVE,[13, 12],1066,523,331828
11111,JSON Object,MOVE,[13, 12],1066,523,331990
11111,JSON Object,MOVE,[13, 12],1066,523,332167
11111,JSON Object,MOVE,[13, 13],1093,523,332333
11111,JSON Object,MOVE,[14, 13],1093,549,332453
11111,JSON Object,MOVE,[15, 13],1093,576,332646
11111,JSON Object,MOVE,[15, 14],1120,576,332783
11111,JSON Object,MOVE,[15, 15],1146,576,332961
11111,JSON Object,MOVE,[1, 2],800,203,335517
11111,JSON Object,MOVE,[1, 3],826,203,335709
11111,JSON Object,MOVE,[2, 3],826,230,336085
11111,JSON Object,MOVE,[3, 3],826,256,336269
11111,JSON Object,MOVE,[4, 3],826,283,336438
11111,JSON Object,MOVE,[4, 2],800,283,336553
11111,JSON Object,MOVE,[5, 2],800,310,336675
11111,JSON Object,MOVE,[6, 2],800,336,336865
11111,JSON Object,MOVE,[7, 2],800,363,337052
11111,JSON Object,MOVE,[7, 3],826,363,337240
11111,JSON Object,MOVE,[8, 3],826,390,337454
11111,JSON Object,MOVE,[8, 4],853,390,337692
11111,JSON Object,MOVE,[7, 4],853,363,337885
11111,JSON Object,MOVE,[7, 5],880,363,338052
